"date","rate","volume","cap","liquidity"
1564440900000,9553.2482578384,9269043857,170488338373,NA
1564457400000,9481.20575916282,8289207729,169205267205,NA
1564473900000,9534.79258492281,8436961813,170164821195,NA
1564490400000,9599.64689983189,8497828790,171324533435,NA
1564506900000,9690.75891363775,8467884721,172953513311,NA
1564523400000,9596.63639259908,8587010567,171277407512,NA
1564539900000,9693.45918643243,8873932455,173009344232,NA
1564556400000,9775.59490164899,8905873931,174478483653,NA
1564572900000,9755.28599547855,8985823806,174119173147,NA
1564589400000,10035.5004034913,9897860220,179124399364,NA
1564605900000,10019.9050810705,10317830760,178851297735,NA
1564622400000,10023.5921067799,10359327538,178922492338,NA
1564638900000,9949.30349129285,10420668224,177599663898,NA
1564655400000,9943.2026757331,10453294911,177493128004,NA
1564671900000,10010.4880039809,9843149624,178698973194,NA
1564688400000,10234.8692745867,9722589607,182708536470,NA
1564704900000,10397.2216497741,10565303928,185609766075,NA
1564721400000,10373.1257900974,10449780292,185182597574,NA
1564737900000,10503.9241930542,10905241994,187521170105,NA
1564754400000,10521.4979877874,10996244089,187839377684,NA
1564770900000,10455.1000605876,11812416262,186660651687,NA
1564787400000,10516.4795905052,10771371713,187760301159,NA
1564803900000,10761.8591721019,11574392974,192144386031,NA
1564820400000,10793.7780880605,11136164072,192718320407,NA
1564836900000,10715.1871406804,11074048412,191319259220,NA
1564853400000,10806.6499589965,10009977500,192957868177,NA
1564869900000,10791.3534237409,9768081044,192689457095,NA
1564886400000,10808.4783226519,9082782745,192999561175,NA
1564902900000,10699.2790748101,8997383830,191053945047,NA
1564919400000,10681.557734315,8861183981,190741238718,NA
1564935900000,10900.9709830089,9670129877,194663271756,NA
1564952400000,10911.7350845018,9809871237,194859986526,NA
1564968900000,11266.0962079464,11476853986,201193607563,NA
1564985400000,11487.7950474901,12785449187,205155936635,NA
1565001900000,11628.953709795,14349523323,207681623851,NA
1565018400000,11665.1649069217,15110859400,208332846139,NA
1565034900000,11723.2733603775,15486282062,209374731398,NA
1565051400000,11755.7915276292,15364559882,209958871648,NA
1565067900000,11681.533005857,13627952721,208636992276,NA
1565084400000,12158.6508413719,14519499011,217162623015,NA
1565100900000,11747.5998834247,15042901850,209825937348,NA
1565117400000,11699.0521547415,14309953860,208963205015,NA
1565133900000,11356.4487272309,14576487913,202848739532,NA
1565150400000,11565.9160575405,14724107099,206594001186,NA
1565166900000,11558.2831766664,13490439887,206462722814,NA
1565183400000,11824.0470557955,12204898400,211214868053,NA
1565199900000,11643.9371392817,13836353111,208001762186,NA
1565216400000,11924.907051498,14279744228,213024595808,NA
1565232900000,11860.7318809757,13877528275,211880849687,NA
1565249400000,11808.5978153484,13745278962,210953219598,NA
1565265900000,11794.1017005843,13715191327,210698230180,NA
1565282400000,11712.816330233,12049875180,209249756560,NA
1565298900000,11589.9803640609,11623804393,207646951886,NA
1565315400000,11862.5748833544,12034990663,211934686915,NA
1565331900000,11807.637850221,11824659393,210957028978,NA
1565348400000,11710.544625933,11978788461,209226152796,NA
1565364900000,11721.6992542313,11771717098,209429549278,NA
1565381400000,11802.9441024455,11445841027,210885267794,NA
1565397900000,11847.9971526659,10809768803,211694977725,NA
1565414400000,11772.2211067557,10635654987,210344422169,NA
1565430900000,11818.2783729634,10037255917,211171207986,NA
1565447400000,11432.0520479141,10906205967,204273473401,NA
1565463900000,11360.1686230991,11012961052,202994001114,NA
1565480400000,11342.9474028447,10824173644,202691800436,NA
1565496900000,11397.143136666,10623954098,203664520261,NA
1565513400000,11326.157009763,10509850669,202399977448,NA
1565529900000,11392.7139309346,9622153348,203592924667,NA
1565546400000,11342.3246604857,9145554049,202696415543,NA
1565562900000,11458.153662508,9264877111,204770806777,NA
1565579400000,11399.4239188191,9143536611,203725796315,NA
1565595900000,11347.8992942626,9176294198,202809372490,NA
1565612400000,11322.057329883,8496046376,202350208876,NA
1565628900000,11363.3948146093,8575975360,203092694270,NA
1565645400000,11398.989268374,8500302088,203732847108,NA
1565661900000,11367.6767896677,8147892711,203176476605,NA
1565678400000,11330.4006812996,8153425456,202515185582,NA
1565694900000,11231.0682695465,8303531074,200744114250,NA
1565711400000,10956.9076621888,9033768565,195847460032,NA
1565727900000,10950.9122573835,9745809353,195743723781,NA
1565744400000,10825.7348028807,10057946706,193510009601,NA
1565760900000,10633.8353451969,10889685175,190083794484,NA
1565777400000,10551.5914739566,11166997447,188616819921,NA
1565793900000,10548.1199287068,10821590073,188558318423,NA
1565810400000,10244.4788766974,11559001353,183135293461,NA
1565826900000,10087.5724697258,11983135483,180334019905,NA
1565843400000,9900.08646389888,11938943471,176985697031,NA
1565859900000,9964.79033539799,13150575809,178147283059,NA
1565876400000,10001.9003753362,14262187850,178813724863,NA
1565892900000,10039.6621326481,13170495991,179492593489,NA
1565909400000,10359.4186537655,14224405958,185212803613,NA
1565925900000,10321.7318895593,13701569762,184543916574,NA
1565942400000,9927.88237584923,13488758851,177505324742,NA
1565958900000,10162.8575117817,13254253464,181709981693,NA
1565975400000,10429.2715733415,13430628763,186475761614,NA
1565991900000,10406.556442889,12792557151,186073651985,NA
1566008400000,10382.1085686629,12195255246,185640271927,NA
1566024900000,10354.7603700515,10500991390,185154764522,NA
1566041400000,10352.0847507155,9792895146,185109892486,NA
1566057900000,10332.4847199379,8341491303,184762650329,NA
1566074400000,10145.752135597,8335741128,181426207794,NA
